target,descriptor,model,cv_rmse,cv_cliff_rmse,test_rmse,test_cliff_rmse,cv_stratified
CHEMBL262,PHYSCHEM,GBM,0.8303308273851081,0.9093774404423752,0.795200605229212,0.8918600094839825,True
CHEMBL262,PHYSCHEM,KNN,0.8420888700976128,0.9106323466453576,0.8462670026609878,0.8824954850342478,True
CHEMBL262,WHIM,RF,0.8463048722361354,0.9280066244685792,0.8585322451454815,0.8952972590751694,True
CHEMBL262,WHIM,SVM,0.8726236619938321,0.9646406594004464,0.8979807236839183,0.9200534628197696,True
CHEMBL262,WHIM,GBM,0.8627428815694304,0.9358807418689687,0.8581808281535996,0.9046370026572226,True
CHEMBL262,WHIM,KNN,0.8771438154588417,0.9260711108656562,0.9018193549335772,0.8340575301328639,True
CHEMBL267,ECFP,RF,0.6805711458252639,0.7618299048546401,0.6415214593760783,0.8232048213263403,True
CHEMBL267,ECFP,SVM,0.6667388643221671,0.741157567433153,0.6566868911711142,0.859853410941142,True
CHEMBL267,ECFP,GBM,0.7110441354093379,0.7894630429855638,0.6475535389387411,0.8388211430199787,True
CHEMBL267,ECFP,KNN,0.6683817588671181,0.7471661149524529,0.6415149039794417,0.8184281339524941,True
CHEMBL267,MACCS,RF,0.6762824074653725,0.7674051572701386,0.6653590450351253,0.8323537529450112,True
CHEMBL267,MACCS,SVM,0.6959396294436268,0.7506778646527615,0.6584224175400449,0.831827698309945,True
CHEMBL267,MACCS,GBM,0.7175473340595122,0.7780032765348973,0.6692853404601748,0.8910139850680191,True
CHEMBL267,MACCS,KNN,0.7053623374339791,0.788806327693572,0.7112363732607906,0.9334528771229368,True
CHEMBL267,PHYSCHEM,RF,0.7265886476111754,0.7209710276308858,0.641615472955459,0.82609597022459,True
CHEMBL267,PHYSCHEM,SVM,0.9206090092154416,0.7561295399797204,0.8298295047315183,0.919896057672152,True
CHEMBL267,PHYSCHEM,GBM,0.7363452539195825,0.7362334952794941,0.6746161024066495,0.8552828894259024,True
CHEMBL267,PHYSCHEM,KNN,0.7421995164654224,0.7800512165147914,0.7123218564839113,0.9347942066611128,True
CHEMBL267,WHIM,RF,0.8043204044856807,0.8668117960739676,0.8065617297820941,0.9248244908312464,True
CHEMBL267,WHIM,SVM,0.8106029384004316,0.8685086509661439,0.8204967573027464,0.9555644354932158,True
CHEMBL267,WHIM,GBM,0.818104491838799,0.8860788168538442,0.8697479991683582,1.0565357370603898,True
CHEMBL267,WHIM,KNN,0.8005935817517893,0.8652953091181955,0.8160882669978574,1.010292075518431,True
CHEMBL2695,ECFP,RF,0.8626825983544548,0.7304612788122443,1.0450287968410836,0.8155487061575004,True
CHEMBL2695,ECFP,SVM,0.7955540405104582,0.7453548864898228,0.9494728498912476,0.8223809405576821,True
CHEMBL2695,ECFP,GBM,0.8325503024463679,0.6717517128977433,0.990560188573952,0.752971863380693,True
CHEMBL2695,ECFP,KNN,1.037112802412917,0.8871273990323377,1.3568935155715205,0.6965476819165775,True
CHEMBL2695,MACCS,RF,0.770706318412862,0.7736339257616013,1.1316539923789406,0.8674035122088114,True
CHEMBL2695,MACCS,SVM,0.8863312308437082,0.8512180187337147,1.023187993250816,0.916301395980557,True
CHEMBL2695,MACCS,GBM,0.8011182406826831,0.8237705085877842,1.0814420043361226,0.8676074205540144,True
CHEMBL2695,MACCS,KNN,0.8431007325416892,0.9077555907723656,1.1968457478367225,0.7503858581587182,True
CHEMBL2695,PHYSCHEM,RF,0.8127508159173191,0.7017949888209786,0.909905496928103,0.9437481636114295,True
